linear,1000,10,0.05,591,6,-0.5,0,1,1
linear,1000,10,0.05,591,6,-1.0,0,0,0
linear,1000,10,0.05,591,6,0.5,38,88,88
linear,1000,10,0.05,591,6,0,1,22,22
random,1000,10,0.05,591,7.103889000000001,0,1,4,4
linear,1000,10,0.05,591,6,1.0,148,228,228
linear,1000,10,0.05,591,7,-2.0,0,0,0
linear,1000,10,0.05,591,6,1.5,520,569,569
linear,1000,10,0.05,591,6,2,0,0,0
linear,1000,10,0.05,591,7,-1.0,0,0,0
linear,1000,10,0.05,591,7,-1.5,0,0,0
linear,1000,10,0.05,591,7,-0.5,0,0,0
linear,1000,10,0.05,591,7,0.5,20,62,62
linear,1000,10,0.05,591,7,0,0,7,7
linear,1000,10,0.05,591,7,1.0,128,199,199
random,1000,10,0.05,591,8.159832,0,2,3,3
linear,1000,10,0.05,591,7,2,0,0,0
linear,1000,10,0.05,591,7,1.5,505,555,555
linear,1000,10,0.05,591,8,-2.0,0,0,0
linear,1000,10,0.05,591,8,-1.0,0,0,0
linear,1000,10,0.05,591,8,-1.5,0,0,0
linear,1000,10,0.05,591,8,-0.5,0,0,0
linear,1000,10,0.05,591,8,0,0,3,3
linear,1000,10,0.05,591,8,0.5,14,41,41
random,1000,10,0.05,591,9.161829000000001,0,1,1,1
linear,1000,10,0.05,591,8,1.5,508,544,544
linear,1000,10,0.05,591,8,1.0,114,176,176
linear,1000,10,0.05,591,8,2,0,0,0
linear,1000,10,0.05,591,9,-2.0,0,0,0
linear,1000,10,0.05,591,9,-1.5,0,0,0
linear,1000,10,0.05,591,9,-1.0,0,0,0
linear,1000,10,0.05,591,9,0,1,1,1
linear,1000,10,0.05,591,9,0.5,5,22,22
linear,1000,10,0.05,591,9,-0.5,0,0,0
linear,1000,10,0.05,591,9,1.0,92,159,159
random,1000,10,0.05,591,10.161828,0,1,1,1
linear,1000,10,0.05,591,9,2,0,0,0
linear,1000,10,0.05,591,9,1.5,497,538,538
linear,1000,10,0.05,591,10,-2.0,0,0,0
linear,1000,10,0.05,591,10,-0.5,0,0,0
linear,1000,10,0.05,591,10,-1.5,0,0,0
linear,1000,10,0.05,591,10,-1.0,0,0,0
linear,1000,10,0.05,591,10,0,0,0,0
random,1000,10,0.05,591,11.157831,0,0,1,1
linear,1000,10,0.05,591,10,0.5,4,17,17
linear,1000,10,0.05,591,10,2,0,0,0
